desc_cod_agua_canalizada_fam;cod_familiar_fam
Não;29681936
Não;488314844
Não;488318246
Não;488319641
Não;488490227
Não;488494052
Não;582897556
Não;582900018
Não;582902223
Não;585174210
Não;585180709
Não;585183635
Não;585184100
Não;585184798
Não;585189080
Não;585189919
Não;585190682
Não;585192030
Não;585206864
Não;585208212
Não;585209294
Não;585196451
Não;585200157
Não;585201200
Não;585201714
Não;585201803
Não;585202362
Não;585225141
Não;585225494
Não;585236429
Não;585245681
Não;585248435
Não;585248516
Não;585248788
Não;585249911
Não;585227004
Não;585252971
Não;585256373
Não;585259550
Não;585262187
Não;585262500
Não;585263159
Não;585263230
Não;585264201
Não;585266921
Não;585273383
Não;585273979
Não;665396686
Não;665398204
Não;665400110
Não;585279829
Não;585289549
Não;585301930
Não;585303550
Não;585310840
Não;585312540
Não;585316457
Não;585317771
Não;585322007
Não;585324476
Não;1096449056
Não;1096451468
Não;1096455374
Não;1096456265
Não;1096463555
Não;1096465094
Não;1096465680
Não;1096468514
Não;585337373
Não;585337535
Não;585340919
Não;585343004
Não;585344310
Não;585345473
Não;585347174
Não;585347255
Não;585347506
Não;585347840
Não;585348901
Não;585350477
Não;585351600
Não;585352097
Não;585352178
Não;589539060
Não;665376812
Não;665377975
Não;665378432
Não;665380178
Não;665381573
Não;665382626
Não;665385056
Não;665385480
Não;665400977
Não;665409508
Não;1096372916
Não;1096385651
Não;1096387786
Não;1096390302
Não;1096398397
Não;1096399601
Não;1096406594
Não;1096411750
Não;1096416557
Não;1096422794
Não;1096430541
Não;1096474751
Não;1096476371
Não;1096477181
Não;1096483238
Não;1096485877
Não;1096486091
Não;1096486415
Não;1096490870
Não;1096497107
Não;1096502127
Não;1096503875
Não;1096505738
Não;1096512947
Não;1096515610
Não;1096519364
Não;1096526140
Não;1096544393
Não;1096547813
Não;1096557533
Não;1096559900
Não;1096560402
Não;1096563690
Não;1096565633
Não;1096575604
Não;1096576597
Não;1096577216
Não;1096580276
Não;1096581590
Não;1096583534
Não;1096583704
Não;1096648504
Não;1096650070
Não;1096656949
Não;1096657678
Não;1096600218
Não;1096602423
Não;1096603900
Não;1096604710
Não;1096623420
Não;1096625040
Não;1096626799
Não;1096631288
Não;1096707446
Não;1187793701
Não;1187794007
Não;1187795755
Não;1187799742
Não;1271099861
Não;1271101009
Não;1287581803
Não;1287582362
Não;1287582524
Não;1340583488
Não;1340587718
Não;1096639181
Não;1096672634
Não;1096673100
Não;1096678241
Não;1096680904
Não;1404160647
Não;1405018194
Não;1096685701
Não;1096687585
Não;1096693399
Não;1096697386
Não;1407859226
Não;1096698196
Não;1096702800
Não;1096706040
Não;1096706393
Não;1187756695
Não;1187756857
Não;1187760455
Não;1187762237
Não;1187763128
Não;1187767700
Não;1187775304
Não;1187780057
Não;1187782262
Não;1187785954
Não;1187803448
Não;1187807435
Não;1187813753
Não;1187815705
Não;1414774079
Não;1418422614
Não;1187821691
Não;1187822078
Não;1187824607
Não;1201458714
Não;1216180806
Não;1216181020
Não;1216181454
Não;1216181705
Não;1216182183
Não;1418456357
Não;1418458643
Não;1236023862
Não;1270472631
Não;1270478400
Não;1287584063
Não;1287584810
Não;1287585116
Não;1287586007
Não;1287587836
Não;1288861702
Não;1288862342
Não;1290401691
Não;1290402400
Não;1290402582
Não;1290402663
Não;1290402825
Não;1298075670
Não;1298077702
Não;1298078008
Não;1298080835
Não;1298080916
Não;1298082536
Não;1340571552
Não;1380381711
Não;1380384303
Não;1380384575
Não;1393821600
Não;1404135618
Não;1404135880
Não;1404136185
Não;1404136347
Não;1404137904
Não;1404138714
Não;1404138986
Não;1404139109
Não;1404142401
Não;1404145176
Não;1404145338
Não;1404145508
Não;1404146814
Não;1404150331
Não;1404150927
Não;1422664341
Não;1422665232
Não;1404152890
Não;1406780936
Não;1406789054
Não;1406793248
Não;1407816179
Não;1407819275
Não;1407820796
Não;1407824945
Não;1407825917
Não;1407827103
Não;1407827618
Não;1407828770
Não;1407828932
Não;1407829076
Não;1407831992
Não;1407832450
Não;1407832883
Não;1407833260
Não;1407835203
Não;1407836285
Não;1407839977
Não;1407841106
Não;1407842765
Não;1407849930
Não;1407851675
Não;1407855409
Não;1412365317
Não;1412367360
Não;1412369576
Não;1414736819
Não;1414743513
Não;1414745729
Não;1414752423
Não;1414754396
Não;1414760876
Não;1414763549
Não;1418426288
Não;1418427683
Não;1418429546
Não;1418433578
Não;1418439347
Não;1418445150
Não;1418445746
Não;1418446807
Não;1418451800
Não;1422670660
Não;1422672956
Não;1422676609
Não;1422677834
Não;1422682080
Não;1422683214
Não;1422685004
Não;1422695069
Não;1422700089
Não;1422701212
Não;1422702618
Não;1422703428
Não;1422706605
Não;1422707768
Não;1422710980
Não;1422714462
Não;1426360290
Não;1427481024
Não;1427487499
Não;1431905801
Não;1431906522
Não;1434898369
Não;1434898440
Não;1434900878
Não;1437915329
Não;1437915400
Não;1437917704
Não;1437919669
Não;1442650605
Não;1448854768
Não;1448862787
Não;1448876222
Não;1448881579
Não;1466698004
Não;1458843416
Não;1458847675
Não;1458852407
Não;1458853489
Não;1458855260
Não;1458859096
Não;1458866467
Não;1473371783
Não;1530211794
Não;1473374022
Não;1473375770
Não;1473581834
Não;1477075100
Não;1477075364
Não;1500191221
Não;1506321186
Não;1512060747
Não;1522688129
Não;1530216168
Não;1530220270
Não;1530221080
Não;1530269601
Não;1530235707
Não;1530243130
Não;1530243211
Não;1530245850
Não;1530258081
Não;1530263166
Não;1530264138
Não;1530268710
Não;1530286700
Não;1530321115
Não;1530322863
Não;1530291968
Não;1530299942
Não;1530301947
Não;1530308445
Não;1530315735
Não;1530316898
Não;1530324645
Não;1530341140
Não;1530341906
Não;1530342546
Não;1530343941
Não;1530350999
Não;1530356253
Não;1530359864
Não;1530361508
Não;1530361680
Não;1530364604
Não;1530364787
Não;1530370248
Não;1530372020
Não;1530376874
Não;1530377412
Não;1530382840
Não;1530395828
Não;1530405211
Não;1530405483
Não;1530411378
Não;1576298990
Não;1563762889
Não;1563763184
Não;1576291987
Não;1576292363
Não;1576310108
Não;1576319903
Não;1576326012
Não;1576337308
Não;1576354300
Não;1576362752
Não;1576365930
Não;1576375307
Não;1576377865
Não;1576377946
Não;1576379213
Não;1576390454
Não;1576391426
Não;1576392406
Não;1576393470
Não;1584267038
Não;1584281618
Não;1584285877
Não;1584297611
Não;1584300850
Não;1584301660
Não;1590860780
Não;1590861833
Não;1590862481
Não;1590863291
Não;1590864930
Não;1590882164
Não;1590896467
Não;1596407417
Não;1596411015
Não;1596411953
Não;1599525658
Não;1599530147
Não;1623562694
Não;1654789186
Não;1654796808
Não;1672942373
Não;1700962035
Não;1704691826
Não;1717430759
Não;1733691979
Não;1733698558
Não;1733701877
Não;1733704973
Não;1733707050
Não;1733755454
Não;1733756183
Não;1736945947
Não;1736953702
Não;1736963090
Não;1736974882
Não;1736978950
Não;1736983105
Não;1736993089
Não;1737002507
Não;1737009005
Não;1737020238
Não;1737022443
Não;1739537270
Não;1739540816
Não;1739541383
Não;1739543670
Não;1739552580
Não;1739558430
Não;1739575954
Não;1741305896
Não;1741306353
Não;1741312167
Não;1741314534
Não;1749142376
Não;1749145987
Não;1749146525
Não;1749151600
Não;1749174146
Não;1749184451
Não;1749186071
Não;1749193876
Não;1750975424
Não;1750982390
Não;1750983109
Não;1750992787
Não;1751004384
Não;1751006913
Não;1751017362
Não;1764881621
Não;1764903536
Não;1784899135
Não;1784903345
Não;1784903426
Não;1779103565
Não;1779114508
Não;1779114923
Não;1779118597
Não;1797140744
Não;1797143506
Não;1797144308
Não;1797144812
Não;1797145118
Não;1797146190
Não;1809552419
Não;1809556082
Não;1809558883
Não;1809564859
Não;1809570581
Não;1828778095
Não;1828782793
Não;1828786608
Não;1848299419
Não;1856961710
Não;1856963411
Não;1856965112
Não;1856965708
Não;1856966941
Não;1873660049
Não;1873666403
Não;1873673884
Não;1873683928
Não;1873684061
Não;1873689705
Não;1881620972
Não;1881622088
Não;1881637271
Não;1881641112
Não;1881644804
Não;1881647900
Não;1896570062
Não;1896578470
Não;1896587895
Não;1896590500
Não;1896600905
Não;1896601987
Não;1896602959
Não;1896607918
Não;1896610897
Não;1896619681
Não;1896621236
Não;1896661530
Não;1896664040
Não;1896682618
Não;1896689116
Não;1896696678
Não;1896707971
Não;1896716105
Não;1896719201
Não;1896723586
Não;1904372864
Não;1911172425
Não;1911176250
Não;1911178547
Não;1920213112
Não;1920214003
Não;1920216561
Não;1925716724
Não;1933373989
Não;1944003959
Não;1935368893
Não;1935373897
Não;1940723205
Não;1940726301
Não;1940726654
Não;1940727979
Não;1940731496
Não;1940733197
Não;1959815296
Não;1949888134
Não;1949894452
Não;1955723001
Não;1956853189
Não;1958781240
Não;1958781592
Não;1959812785
Não;1961128691
Não;1961928620
Não;1963857682
Não;1972033611
Não;1973076128
Não;1975633415
Não;1990405916
Não;1981980946
Não;1984632515
Não;1990408508
Não;1996569830
Não;2011802946
Não;2002855994
Não;2006915894
Não;2013482094
Não;2014315051
Não;2016398159
Não;2016677708
Não;2020853680
Não;2020857405
Não;2023766990
Não;2024809766
Não;2029294187
Não;2029297607
Não;2030676063
Não;2030678007
Não;2032095327
Não;2034216717
Não;2036533868
Não;2038245398
Não;2046264045
Não;2046985966
Não;2052760326
Não;2056856093
Não;2062159838
Não;2062164246
Não;2068070820
Não;2068071126
Não;2073602860
Não;2073604056
Não;2068075466
Não;2068086824
Não;2068088100
Não;2068088525
Não;2068696142
Não;2071177800
Não;2071178530
Não;2075324190
Não;2075324514
Não;2079326546
Não;2079327275
Não;2079328670
Não;2088211128
Não;2088212957
Não;2079329561
Não;2079334050
Não;2083143779
Não;2093022087
Não;2094045404
Não;2096415845
Não;2099283958
Não;2101209594
Não;2103050614
Não;2105922570
Não;2105922813
Não;2124102109
Não;2107388989
Não;2110347970
Não;2116146887
Não;2116147000
Não;2124102532
Não;2131900368
Não;2131901682
Não;2139405587
Não;2143063210
Não;2156021295
Não;2161734776
Não;2172213861
Não;2172216534
Não;2172770710
Não;2193498865
Não;2193500436
Não;2193505314
Não;2200592760
Não;2201186049
Não;2201803005
Não;2202341838
Não;2219412156
Não;2219417549
Não;2219434800
Não;2223878580
Não;2223888038
Não;2223890288
Não;2228910503
Não;2231156814
Não;2235038190
Não;2238731369
Não;2242413112
Não;2247840485
