ano;cnae_2_descricao_secao;variable;salario_medio
2007;Administração Pública, Defesa E Seguridade Social;Admissões;691.5470730235365
2007;Administração Pública, Defesa E Seguridade Social;Demissões;833.6073466476462
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;508.49411764705883
2007;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;637.9245283018868
2007;Alojamento E Alimentação;Admissões;578.900113507378
2007;Alojamento E Alimentação;Demissões;632.7456453774006
2007;Artes, Cultura, Esporte E Recreação;Admissões;532.9548387096775
2007;Artes, Cultura, Esporte E Recreação;Demissões;530.6064981949459
2007;Atividades Administrativas E Serviços Complementares;Admissões;750.4201210287443
2007;Atividades Administrativas E Serviços Complementares;Demissões;752.1742814421
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1212.9023722627737
2007;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;2395.1007194244603
2007;Atividades Imobiliárias;Admissões;677.1666666666666
2007;Atividades Imobiliárias;Demissões;729.2763157894736
2007;Atividades Profissionais, Científicas E Técnicas;Admissões;877.6952380952381
2007;Atividades Profissionais, Científicas E Técnicas;Demissões;874.753125
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;674.6288667244869
2007;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;762.4368501789671
2007;Construção;Admissões;665.3226687475615
2007;Construção;Demissões;667.3239436619718
2007;Educação;Admissões;919.7367915465899
2007;Educação;Demissões;1428.712619300106
2007;Indústrias De Transformação;Admissões;1097.975773031559
2007;Indústrias De Transformação;Demissões;1414.0884823595295
2007;Informação E Comunicação;Admissões;1125.9463601532566
2007;Informação E Comunicação;Demissões;1450.526371308017
2007;Outras Atividades De Serviços;Admissões;830.5403225806451
2007;Outras Atividades De Serviços;Demissões;992.8843683083512
2007;Saúde Humana E Serviços Sociais;Admissões;811.7626666666666
2007;Saúde Humana E Serviços Sociais;Demissões;896.558692421991
2007;Serviços Domésticos;Admissões;550.0
2007;Serviços Domésticos;Demissões;446.0
2007;Transporte, Armazenagem E Correio;Admissões;771.4469387755101
2007;Transporte, Armazenagem E Correio;Demissões;857.2138487888427
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;699.0
2007;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;697.11875
2008;Administração Pública, Defesa E Seguridade Social;Admissões;664.340661421195
2008;Administração Pública, Defesa E Seguridade Social;Demissões;629.1012800620636
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;80.76945454545454
2008;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;51.832068965517244
2008;Alojamento E Alimentação;Admissões;624.406934802294
2008;Alojamento E Alimentação;Demissões;656.961678857541
2008;Artes, Cultura, Esporte E Recreação;Admissões;816.8860752688172
2008;Artes, Cultura, Esporte E Recreação;Demissões;746.2334848484849
2008;Atividades Administrativas E Serviços Complementares;Admissões;730.7153857791226
2008;Atividades Administrativas E Serviços Complementares;Demissões;726.9735786043987
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1293.2822976190475
2008;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;1935.237961095101
2008;Atividades Imobiliárias;Admissões;831.7033898305085
2008;Atividades Imobiliárias;Demissões;809.5333333333333
2008;Atividades Profissionais, Científicas E Técnicas;Admissões;816.7270956719818
2008;Atividades Profissionais, Científicas E Técnicas;Demissões;813.3562923076922
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;682.1848384959417
2008;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;756.818671790637
2008;Construção;Admissões;644.9849669025336
2008;Construção;Demissões;641.8052031163049
2008;Educação;Admissões;861.2605874125874
2008;Educação;Demissões;1254.965973295854
2008;Indústrias De Transformação;Admissões;1028.0654276439006
2008;Indústrias De Transformação;Demissões;1243.9642920413366
2008;Indústrias Extrativas;Admissões;678.0
2008;Indústrias Extrativas;Demissões;625.2
2008;Informação E Comunicação;Admissões;875.3670243902438
