desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Fossa séptica;56691890
Direto para um rio, lago ou mar;24902500
Vala a céu aberto;29681936
Outra forma;41288939
Fossa séptica;585182582
Vala a céu aberto;585183473
Fossa séptica;585183554
Direto para um rio, lago ou mar;126843333
Direto para um rio, lago ou mar;216527830
Direto para um rio, lago ou mar;258074639
Outra forma;293674256
Fossa séptica;308250320
Direto para um rio, lago ou mar;324298510
Outra forma;349674868
Outra forma;372404391
Fossa séptica;382536584
Fossa séptica;416454054
Fossa séptica;477613004
Fossa rudimentar;488312043
Fossa rudimentar;488312205
Fossa séptica;488313449
Vala a céu aberto;488313791
Vala a céu aberto;488313872
Vala a céu aberto;488313953
Vala a céu aberto;488314178
Vala a céu aberto;488314330
Vala a céu aberto;488315069
Vala a céu aberto;488315301
Vala a céu aberto;488315573
Fossa séptica;488315735
Fossa séptica;488315816
Vala a céu aberto;488316383
Fossa séptica;488316979
Vala a céu aberto;488317517
Fossa séptica;488317789
Vala a céu aberto;488318084
Outra forma;488318165
Fossa rudimentar;488318750
Vala a céu aberto;488319307
Fossa séptica;488319722
Vala a céu aberto;488490227
Vala a céu aberto;488490308
Vala a céu aberto;488490650
Vala a céu aberto;488490731
Direto para um rio, lago ou mar;488491118
Vala a céu aberto;488491975
Fossa séptica;488492513
Fossa séptica;488492602
Direto para um rio, lago ou mar;488492785
Vala a céu aberto;488493080
Vala a céu aberto;488493757
Outra forma;488494052
Outra forma;517879700
Fossa séptica;582897637
Fossa séptica;582898013
Outra forma;582898528
Fossa séptica;582899176
Fossa rudimentar;582902142
;585173249
Vala a céu aberto;585173672
Outra forma;585173834
Vala a céu aberto;585174997
Vala a céu aberto;585175292
Vala a céu aberto;585175454
Fossa séptica;585176000
Fossa rudimentar;585176264
Fossa séptica;585176507
Vala a céu aberto;585176698
Vala a céu aberto;585177074
Vala a céu aberto;585177236
Vala a céu aberto;585177317
;585177740
Fossa séptica;585178399
Fossa rudimentar;585178801
Outra forma;585178984
Vala a céu aberto;585179018
Fossa rudimentar;585179603
;585180709
Vala a céu aberto;585180962
Vala a céu aberto;585181772
Vala a céu aberto;585181853
Fossa séptica;585182230
Fossa rudimentar;585182310
Fossa rudimentar;585183635
Fossa séptica;585184011
Vala a céu aberto;585184100
Fossa séptica;585184526
Vala a céu aberto;585184798
Direto para um rio, lago ou mar;585184950
Vala a céu aberto;585185255
Fossa rudimentar;585185506
Vala a céu aberto;585186227
