bairro;cod_familiar_fam;vlr_renda_per_capita_fam;qtd_pessoas_domic_fam;qtd_comodos_domic_fam;qtd_familias_domic_fam;val_desp_energia_fam;val_desp_agua_esgoto_fam;val_desp_alimentacao_fam
Padroeira;10154;22099.66;3.37;3.71;1.04;88.23;53.0;371.33
Conceição;9996;22983.64;3.35;3.74;1.04;105.46;72.06;398.2
Veloso;9450;26305.68;3.29;3.89;1.04;110.87;64.09;394.17
Munhoz Júnior;8427;22501.34;3.31;3.56;1.01;99.57;66.95;408.66
Vila Menck;8258;26368.5;3.2;3.48;1.03;107.31;63.13;404.84
Rochdale;8185;23514.25;3.24;3.6;1.02;113.62;65.33;391.48
Santa Maria;7060;23804.1;3.34;3.8;1.03;102.68;60.56;408.23
Aliança;7007;22776.11;3.25;3.62;1.02;102.47;63.96;403.99
Portal D'Oeste;6355;18931.65;3.4;3.66;1.03;79.35;49.49;438.54
Helena Maria;6076;26372.32;3.14;3.44;1.03;120.52;63.77;399.11
Novo Osasco;5788;28688.61;3.31;3.92;1.06;110.36;64.5;399.11
Ayrosa;5632;26799.32;3.18;3.59;1.02;108.48;64.18;404.86
Bandeiras;5575;25134.8;3.35;3.82;1.05;113.94;61.06;391.24
Jardim Roberto;5364;24443.33;3.34;3.77;1.08;105.08;72.04;385.08
Jardim Elvira;5343;24455.4;3.25;3.51;1.02;109.27;67.02;419.6
Piratininga;5273;25523.2;3.21;3.8;1.01;85.47;53.64;411.43
Baronesa;5085;23855.86;3.25;3.51;1.02;108.57;61.68;433.56
Bussocaba;4438;24517.6;3.38;3.65;1.04;85.95;52.11;377.76
São Pedro;4038;27284.71;3.32;3.82;1.04;97.9;60.66;416.87
Santo Antônio;3961;27820.52;3.25;3.79;1.05;103.68;61.65;384.23
Mutinga;3515;24365.43;3.17;3.56;1.05;107.38;60.89;397.86
Bonança;3250;23303.66;3.25;3.5;1.02;80.59;49.79;453.09
Jardim D'Abril;2731;32214.99;3.16;3.83;1.03;116.92;73.24;426.71
Vila Yolanda;2697;33721.49;3.27;3.84;1.07;112.4;69.55;386.39
Jaguaribe;2515;33009.81;3.24;3.8;1.04;87.94;52.6;421.29
Pestana;2379;35348.14;3.1;3.89;1.02;117.75;72.13;425.95
Centro;1910;28352.25;3.43;3.53;1.02;62.51;35.81;390.25
Cipava;1786;36210.72;3.14;4.03;1.04;120.78;77.95;429.06
I.A.P.I.;1768;28126.48;3.24;3.69;1.01;113.98;88.15;410.8
Km 18;1759;50510.49;2.86;4.16;1.02;135.34;72.62;454.38
Bela Vista;1547;42686.62;2.94;4.04;1.02;132.78;94.59;441.72
Jardim das Flores;1538;42558.99;2.99;4.1;1.02;124.55;74.57;465.11
Presidente Altino;1513;30801.01;3.05;3.51;1.03;89.92;54.18;417.57
Industrial Anhangüera;1439;18428.93;3.37;3.37;1.0;41.53;26.46;439.55
Quitaúna;1375;41216.04;3.08;4.18;1.04;125.2;71.13;487.02
Vila Osasco;1359;51081.46;3.09;4.1;1.05;125.24;67.66;480.45
Remédios;1223;32891.05;3.16;3.93;1.01;122.96;69.8;439.91
Umuarama;991;59338.02;2.88;4.32;1.03;117.1;69.5;502.23
Vila Yara;885;61863.11;2.84;4.4;1.01;131.3;75.02;553.02
Três Montanhas;772;21921.26;3.38;3.51;1.02;53.98;28.35;438.74
Setor Militar;743;22082.0;3.45;4.61;1.04;136.65;44.23;491.99
Jardim Bonança;700;23987.81;3.35;3.55;1.01;105.25;45.55;440.91
Metalúrgicos;683;40525.49;3.24;4.5;1.02;128.35;76.36;463.8
Cidade das Flores;679;42876.92;3.12;4.58;1.02;135.62;73.78;492.54
Santa Fé;639;18897.01;3.32;3.41;1.03;56.79;32.15;441.06
Bonfim;430;25999.46;2.76;3.1;1.0;77.42;48.17;333.88
Continental;294;80248.7;2.84;5.07;1.0;134.2;59.56;640.83
City Bussocaba;256;32323.36;3.35;4.19;1.01;117.37;60.83;498.26
Industrial Remédios;255;52898.63;2.71;4.76;1.0;141.75;47.55;560.05
Jardim Nogueira;242;19775.32;3.37;3.59;1.0;132.97;53.14;401.71
Vila Campesina;194;59511.67;2.79;4.65;1.04;134.53;72.52;478.4
Adalgisa;169;45474.7;3.26;4.21;1.02;108.01;61.61;516.61
Jardim Paulista;110;15955.74;4.01;4.04;1.02;61.48;51.43;350.06
Parque Industrial Mazzei;98;21995.05;2.83;2.68;1.01;0.0;0.0;335.56
Raposo Tavares;36;18843.81;3.6;3.42;0.96;75.77;34.67;418.1
Castelo Branco;10;24655.56;3.15;4.56;1.0;114.3;51.41;342.59
Jardim Platina;3;19245.45;3.64;3.27;1.0;0.0;22.73;736.36
Área Rural de Osasco;3;3200.0;3.3;3.5;1.0;0.0;63.0;390.0
Jardim Marisa;1;150100.0;2.0;5.0;1.0;148.0;48.0;400.0
