cod_familiar_fam;n_pessoas_fam;qtd_pessoas_domic_fam
50347101;3;3.0
53682785;5;4.0
53685709;3;4.0
56554800;10;5.0
56557906;1;6.0
56691890;4;3.0
57625379;7;5.0
387258;3;2.0
9113134;4;4.0
11505451;6;6.0
17986427;5;3.0
20583591;5;2.0
23736372;2;2.0
24902500;3;2.0
27104206;1;6.0
27372642;1;4.0
28964438;7;7.0
29665302;4;4.0
29681936;4;1.0
31107532;5;5.0
31139302;3;3.0
32078544;4;2.0
33577404;4;4.0
37884239;2;3.0
39375005;7;4.0
39384098;6;6.0
39384330;1;4.0
41272935;4;3.0
41275608;5;2.0
41288939;3;3.0
43282130;3;3.0
48196592;4;3.0
49532588;2;4.0
50268490;6;2.0
58119884;2;2.0
61500631;4;4.0
61502251;2;2.0
62264265;2;2.0
63883961;4;6.0
64089070;3;3.0
64172210;3;3.0
66173876;2;1.0
66180147;6;5.0
66212014;7;3.0
66218136;2;4.0
66384141;3;3.0
68509871;3;5.0
71893202;4;4.0
72185244;5;4.0
74188925;3;2.0
74197916;5;4.0
78193907;4;4.0
89545265;2;1.0
94234787;2;2.0
585182582;5;
585182663;5;5.0
585182744;4;
585182825;8;
585182906;5;5.0
585183040;5;
585183120;7;
585183201;7;
585183392;9;3.0
585183473;4;
585183554;2;2.0
97393002;4;3.0
103530541;3;3.0
106035223;7;6.0
106336428;3;2.0
108799948;6;6.0
110163532;6;3.0
120028875;7;5.0
126843333;4;4.0
128798866;8;5.0
128876336;6;4.0
139716890;7;5.0
139806709;4;4.0
145922154;2;3.0
151549044;2;3.0
151551880;5;5.0
153373245;6;3.0
156645700;9;9.0
160867835;4;3.0
161152520;5;4.0
161187153;8;3.0
161724507;7;7.0
167870726;6;3.0
169294978;7;7.0
176232516;2;2.0
180987038;5;5.0
183738101;4;5.0
184824656;6;6.0
192478265;2;2.0
193257386;1;4.0
198680902;6;2.0
205530052;4;4.0
206603240;4;4.0
208983554;5;5.0
210565799;1;1.0
211109215;6;1.0
214015866;7;4.0
216527830;3;2.0
216606543;3;3.0
216635560;5;5.0
229683347;1;4.0
229700101;4;2.0
239400690;6;6.0
251477657;4;4.0
252463641;2;3.0
254022502;5;4.0
254899684;1;3.0
258074639;7;4.0
262029138;8;1.0
268920907;4;1.0
273004204;9;4.0
274328232;10;2.0
275752259;5;3.0
288274490;3;3.0
288370376;4;4.0
291842666;2;2.0
293674256;5;5.0
300083874;5;8.0
308250320;4;2.0
313305412;4;2.0
317471244;9;4.0
319267547;8;3.0
321521323;5;1.0
323412378;12;4.0
324298510;5;5.0
325613699;5;4.0
346546745;4;4.0
349674868;4;2.0
372404391;2;1.0
378413279;6;6.0
382536584;3;2.0
391556924;1;6.0
397923236;4;4.0
401198820;6;2.0
405759690;3;2.0
406062102;3;3.0
408180986;4;8.0
410538426;9;2.0
414784952;6;2.0
415800528;5;5.0
416454054;8;5.0
416511899;5;3.0
423774395;7;4.0
424012839;6;4.0
427010071;2;1.0
429354746;2;2.0
433526858;5;1.0
438990803;3;1.0
442964447;6;4.0
442993625;4;4.0
452173000;4;5.0
461762765;3;3.0
462006654;3;3.0
477613004;6;5.0
477624707;5;2.0
481733981;4;4.0
484400274;1;4.0
484408410;4;4.0
488311233;4;4.0
488311900;5;4.0
488312043;2;
488312124;8;8.0
488312205;5;
488312396;7;2.0
488312477;6;3.0
488312558;3;4.0
488312639;5;5.0
488312710;6;9.0
488312809;7;
488312981;7;5.0
488313015;3;
488313104;5;3.0
488313287;6;
488313368;7;2.0
488313449;5;
488313520;3;
488313600;5;
488313791;4;
488313872;5;
488313953;8;
488314097;4;
488314178;5;
488314259;9;
488314330;7;3.0
488314410;6;4.0
488314500;5;
488314682;3;2.0
488314763;3;
488314844;5;5.0
488314925;5;
488315069;7;
488315140;4;
488315220;3;
488315301;6;
488315492;8;3.0
488315573;5;
488315654;4;
488315735;4;
488315816;10;4.0
488315905;5;
488316030;4;
488316111;5;4.0
488316200;3;
488316383;6;
488316464;6;
488316545;4;
488316626;4;
488316707;3;3.0
488316898;5;5.0
488316979;4;
488317002;4;
488317193;2;3.0
488317274;7;6.0
488317355;5;5.0
488317436;4;
488317517;6;
488317606;7;
488317789;3;
488317860;4;
488317940;5;
488318084;6;
488318165;6;
488318246;5;
488318327;4;
488318408;3;
488318599;7;2.0
488318670;3;3.0
488318750;4;
488318831;3;4.0
488318912;6;
488319056;5;
488319137;9;
488319218;3;
488319307;6;
488319480;7;
488319560;5;
488319641;4;
488319722;5;
488319803;3;
488319994;6;
488320062;6;
488320143;4;
488320224;9;
488320305;7;2.0
488320496;9;2.0
488320577;6;
488320658;5;
488320739;6;1.0
488490065;10;
488490146;8;
488490227;5;
488490308;5;
488490499;4;3.0
488490570;6;1.0
488490650;8;
488490731;4;
488490812;5;
488490901;7;2.0
488491037;5;
488491118;2;2.0
488491207;8;2.0
488491380;4;2.0
488491460;5;
488491541;6;4.0
488491622;4;
488491703;4;5.0
488491894;7;
488491975;5;
488492009;9;
488492190;6;
488492351;4;
488492432;5;5.0
488492513;6;
488492602;12;
488492785;5;4.0
488492866;7;
488492947;5;
488493080;7;
488493161;7;
488493242;7;
488493323;13;
488493404;6;
488493595;6;
488493676;6;
488493757;4;
488493838;5;
488493919;7;4.0
488494052;4;
492115877;2;6.0
508912199;7;6.0
509000487;4;4.0
509388272;5;3.0
510954839;2;1.0
514468394;8;4.0
514843071;5;3.0
514874112;3;3.0
515158739;5;2.0
517879700;5;5.0
519251415;8;5.0
525321780;5;4.0
528070967;4;4.0
528149040;4;2.0
531119408;5;5.0
531127419;5;3.0
537810749;1;1.0
560272065;4;3.0
573665788;3;3.0
582897556;6;
582897637;4;
582897807;7;
582897980;4;2.0
582898013;7;
582898102;5;
582898285;5;
582898366;5;3.0
582898447;6;
582898528;5;
582898609;3;
582898790;6;4.0
582898870;5;3.0
582898951;5;4.0
582899095;4;
582899176;4;
582899257;7;5.0
582899338;6;
582899419;6;5.0
