cod_familiar_fam;qtd_comodos_domic_fam
50347101;5.0
53682785;2.0
53685709;4.0
56554800;2.0
56557906;4.0
56691890;3.0
57625379;3.0
387258;3.0
9113134;3.0
11505451;4.0
17986427;3.0
20583591;3.0
23736372;3.0
24902500;3.0
27104206;3.0
27372642;2.0
28964438;4.0
29665302;4.0
29681936;3.0
31107532;2.0
31139302;2.0
32078544;4.0
33577404;2.0
37884239;5.0
39375005;4.0
39384098;2.0
39384330;3.0
41272935;3.0
41275608;3.0
41288939;4.0
43282130;3.0
48196592;3.0
49532588;3.0
50268490;2.0
58119884;3.0
61500631;1.0
61502251;3.0
62264265;3.0
63883961;3.0
64089070;3.0
64172210;3.0
66173876;2.0
66180147;4.0
66212014;2.0
66218136;4.0
66384141;3.0
68509871;2.0
71893202;3.0
72185244;2.0
74188925;3.0
74197916;4.0
78193907;3.0
89545265;3.0
94234787;2.0
585182582;6.0
585182663;2.0
585182744;3.0
585182825;3.0
585182906;3.0
585183040;2.0
585183120;5.0
585183201;3.0
585183392;3.0
585183473;3.0
585183554;3.0
97393002;3.0
103530541;3.0
106035223;5.0
106336428;3.0
108799948;5.0
110163532;3.0
120028875;3.0
126843333;4.0
128798866;4.0
128876336;3.0
139716890;2.0
139806709;4.0
145922154;2.0
151549044;3.0
151551880;4.0
153373245;4.0
156645700;3.0
160867835;3.0
161152520;5.0
161187153;3.0
161724507;4.0
167870726;5.0
169294978;4.0
176232516;62.0
180987038;5.0
183738101;2.0
184824656;4.0
192478265;5.0
193257386;2.0
198680902;2.0
205530052;5.0
206603240;5.0
208983554;4.0
210565799;2.0
211109215;3.0
214015866;4.0
216527830;5.0
216606543;3.0
216635560;3.0
229683347;3.0
229700101;4.0
239400690;4.0
251477657;3.0
252463641;4.0
254022502;4.0
254899684;3.0
258074639;6.0
262029138;2.0
268920907;1.0
273004204;3.0
274328232;2.0
275752259;3.0
288274490;4.0
288370376;3.0
291842666;4.0
293674256;3.0
300083874;4.0
308250320;2.0
313305412;2.0
317471244;3.0
319267547;5.0
321521323;3.0
323412378;2.0
324298510;3.0
325613699;6.0
346546745;1.0
349674868;3.0
372404391;3.0
378413279;3.0
382536584;3.0
391556924;4.0
397923236;3.0
401198820;2.0
405759690;3.0
406062102;5.0
408180986;4.0
410538426;3.0
414784952;2.0
415800528;3.0
416454054;4.0
416511899;3.0
423774395;5.0
424012839;3.0
427010071;3.0
429354746;3.0
433526858;4.0
438990803;2.0
442964447;3.0
442993625;5.0
452173000;2.0
461762765;3.0
462006654;5.0
477613004;2.0
477624707;3.0
481733981;4.0
484400274;3.0
484408410;2.0
488311233;3.0
488311900;3.0
488312043;3.0
488312124;4.0
488312205;3.0
488312396;5.0
488312477;3.0
488312558;2.0
488312639;4.0
488312710;4.0
488312809;4.0
488312981;4.0
488313015;3.0
488313104;3.0
488313287;4.0
488313368;4.0
488313449;5.0
488313520;2.0
488313600;5.0
488313791;3.0
488313872;4.0
488313953;1.0
488314097;3.0
488314178;2.0
488314259;2.0
488314330;4.0
488314410;4.0
488314500;4.0
488314682;3.0
488314763;2.0
488314844;5.0
488314925;3.0
488315069;1.0
488315140;2.0
488315220;3.0
488315301;2.0
488315492;5.0
488315573;6.0
488315654;4.0
488315735;3.0
488315816;3.0
488315905;3.0
488316030;4.0
488316111;2.0
488316200;2.0
488316383;2.0
488316464;3.0
488316545;1.0
488316626;1.0
488316707;4.0
488316898;4.0
488316979;4.0
488317002;3.0
488317193;4.0
488317274;4.0
488317355;2.0
488317436;4.0
488317517;2.0
488317606;3.0
488317789;3.0
488317860;3.0
488317940;2.0
488318084;2.0
488318165;2.0
488318246;4.0
488318327;2.0
488318408;3.0
488318599;3.0
488318670;4.0
488318750;4.0
488318831;4.0
488318912;4.0
488319056;3.0
488319137;1.0
488319218;4.0
488319307;4.0
488319480;3.0
488319560;3.0
488319641;2.0
488319722;4.0
488319803;2.0
488319994;4.0
488320062;2.0
488320143;2.0
488320224;5.0
488320305;3.0
488320496;4.0
488320577;2.0
488320658;3.0
488320739;2.0
488490065;3.0
488490146;3.0
488490227;2.0
488490308;2.0
488490499;4.0
488490570;3.0
488490650;3.0
488490731;2.0
488490812;2.0
488490901;6.0
488491037;2.0
488491118;3.0
488491207;4.0
488491380;3.0
488491460;5.0
488491541;4.0
488491622;4.0
488491703;5.0
488491894;2.0
488491975;2.0
488492009;2.0
488492190;3.0
488492351;3.0
488492432;8.0
488492513;3.0
488492602;3.0
488492785;5.0
488492866;3.0
488492947;2.0
488493080;3.0
488493161;2.0
488493242;3.0
488493323;5.0
488493404;2.0
488493595;1.0
488493676;1.0
488493757;4.0
488493838;3.0
488493919;5.0
488494052;3.0
492115877;6.0
508912199;3.0
509000487;5.0
509388272;3.0
510954839;2.0
514468394;4.0
514843071;4.0
514874112;4.0
515158739;2.0
517879700;6.0
519251415;3.0
525321780;4.0
528070967;3.0
528149040;3.0
531119408;2.0
531127419;2.0
537810749;2.0
560272065;4.0
573665788;2.0
582897556;4.0
582897637;3.0
582897807;2.0
582897980;2.0
582898013;4.0
582898102;5.0
582898285;2.0
582898366;3.0
582898447;3.0
582898528;3.0
582898609;4.0
582898790;2.0
582898870;3.0
582898951;3.0
582899095;2.0
582899176;2.0
582899257;5.0
582899338;4.0
582899419;3.0
582899508;1.0
582899680;1.0
582899761;4.0
582899842;2.0
582899923;3.0
582900018;4.0
582900107;2.0
582900280;3.0
582900360;1.0
582900441;3.0
582900522;4.0
582900603;4.0
582900794;2.0
582900875;2.0
582900956;3.0
582901170;3.0
582901251;2.0
582901332;2.0
582901413;2.0
582901502;4.0
582901685;3.0
582901766;3.0
582901847;3.0
582901928;1.0
582902061;4.0
582902142;4.0
582902223;3.0
582902304;3.0
585173249;3.0
585173320;5.0
585173400;2.0
585173591;6.0
585173672;1.0
585173753;3.0
585173834;4.0
585173915;2.0
585174059;4.0
585174130;4.0
585174210;4.0
585174300;4.0
585174482;4.0
585174563;4.0
585174644;2.0
585174806;3.0
585174997;2.0
585175020;3.0
585175101;3.0
585175292;4.0
585175373;2.0
585175454;2.0
585175535;3.0
585175616;3.0
585175705;5.0
585175888;4.0
585176000;3.0
585176183;4.0
585176264;1.0
585176345;3.0
585176426;6.0
585176507;2.0
585176698;3.0
585176779;1.0
585176850;2.0
585176930;4.0
585177074;1.0
585177155;2.0
585177236;5.0
585177317;3.0
585177406;4.0
585177589;4.0
585177740;5.0
585177821;3.0
585177902;4.0
585178046;2.0
585178127;3.0
585178399;2.0
585178470;2.0
585178550;6.0
585178631;2.0
585178712;2.0
585178801;3.0
585178984;3.0
585179018;2.0
585179107;3.0
585179280;4.0
585179360;3.0
585179441;3.0
585179603;3.0
585179794;4.0
585179875;1.0
585179956;1.0
585180024;4.0
585180296;5.0
585180377;2.0
585180458;2.0
585180539;3.0
585180610;2.0
585180709;4.0
585180881;2.0
585180962;4.0
585181004;2.0
585181187;4.0
585181268;3.0
585181349;3.0
585181420;2.0
585181500;1.0
585181691;3.0
585181772;2.0
585181853;2.0
585181934;3.0
585182078;3.0
585182159;6.0
585182230;4.0
585182310;4.0
585182400;5.0
585183635;5.0
585183716;2.0
585183805;3.0
585183988;3.0
585184011;2.0
585184100;3.0
585184283;4.0
585184364;4.0
585184445;3.0
585184526;3.0
585184607;2.0
585184798;4.0
585184879;5.0
585184950;3.0
585185093;4.0
585185174;3.0
585185255;3.0
585185336;3.0
585185417;2.0
585185506;5.0
585185689;3.0
585185760;2.0
585185840;4.0
585185921;3.0
