NME_TRIBUTO;VLR_ATUALIZADO
Imp. Predial e Territ. Urbano;2336910888.15
ISS-Auto;526198551.22
ISS-Fixo;37161829.18
ISS-Estimativa;75910137.27
ISS-Construção;25523719.86
ISS-Retenção Fonte;6055344.22
ISS-Substituição;8726071045.19
Imp. Transm. Bens Inter Vivos;21323765.5
Taxas;377456425.15
Multa - ISS;345890166.19
Multa - Taxas;10153426.79
ISS - Simples Nacional;154311339.39
Outorga Onerosa;26194195.67
ISS - Simples Nacional - PJ;16288345.42
Água e Esgoto;401530154.51
Multa - Imóveis;65347791.81
Multa - Comércio;30009903.86
Multa - Pessoas;163631551.56
Outros Débitos não tributários;370285085.55
Multa - Meio Ambiente;1315690.97
