ANO_DEBITO;NME_TRIBUTO;VLR_LANCADO
2023;Imp. Transm. Bens Inter Vivos;91056357.991
2023;Multa - Taxas;792021.98
2024;Imp. Predial e Territ. Urbano;578408823.47
2024;Imp. Transm. Bens Inter Vivos;7591022233.04
2024;Taxas;36551234.026
2023;Taxas;35293517.0799
2024;ISS-Construção;7743936.02
2023;Imp. Predial e Territ. Urbano;556867855.81
2023;ISS-Auto;8060406.84
2024;Multa - Taxas;1208207.0
2024;ISS - Simples Nacional;84276412.97
2024;Multa - Imóveis;1740447.49
2023;Multa - Imóveis;1749789.83
2024;ISS-Fixo;2496673.9488
2025;Taxas;742230.4725
2023;ISS-Construção;7779136.79
2023;ISS - Simples Nacional;80452305.8
2023;ISS-Fixo;2624041.6346
2023;Outorga Onerosa;3076145.22
2023;ISS-Estimativa;98549.57
2023;Multa - Pessoas;683090.72
2023;Multa - Comércio;1952626.14
2023;Multa - ISS;53138.95
2025;Imp. Transm. Bens Inter Vivos;13842818.1
2025;Multa - Taxas;618411.66
2024;Multa - Comércio;1099508.1
2023;Multa - Meio Ambiente;28326.61
2024;Outorga Onerosa;7867426.73
2023;ISS-Substituição;48638.94
2023;ISS Avulso;296.8
2023;ISS - Simples Nacional - PJ;407301.59
2024;ISS-Estimativa;61357.11
2024;ISS-Auto;7119713.71
2024;Multa - ISS;62968.8
2024;ISS-Substituição;36146.3
2024;ISS-Retenção Fonte;2898.0
2025;ISS-Construção;1031103.23
2025;Imp. Predial e Territ. Urbano;612976919.31
2025;ISS-Fixo;36324.6237
2024;Multa - Pessoas;429018.71
2024;Multa - Meio Ambiente;50227.36
2024;ISS - Simples Nacional - PJ;247757.9
2025;Multa - ISS;27718.88
2025;ISS - Simples Nacional;7071234.02
2025;ISS-Estimativa;4244.84
2025;ISS-Auto;431093.11
2025;Multa - Pessoas;2520.4
2025;ISS-Substituição;26.46
2025;ISS-Retenção Fonte;22500.0
